Track_Name,Album_Title,Artist
It's A Hard Life,Greatest Hits II,Queen
Breakthru,Greatest Hits II,Queen
Who Wants To Live Forever,Greatest Hits II,Queen
Headlong,Greatest Hits II,Queen
The Miracle,Greatest Hits II,Queen
I'm Going Slightly Mad,Greatest Hits II,Queen
The Invisible Man,Greatest Hits II,Queen
Hammer To Fall,Greatest Hits II,Queen
Friends Will Be Friends,Greatest Hits II,Queen
The Show Must Go On,Greatest Hits II,Queen
One Vision,Greatest Hits II,Queen
Detroit Rock City,Greatest Kiss,Kiss
Black Diamond,Greatest Kiss,Kiss
Hard Luck Woman,Greatest Kiss,Kiss
Sure Know Something,Greatest Kiss,Kiss
Love Gun,Greatest Kiss,Kiss
Deuce,Greatest Kiss,Kiss
Goin' Blind,Greatest Kiss,Kiss
Shock Me,Greatest Kiss,Kiss
Do You Love Me,Greatest Kiss,Kiss
She,Greatest Kiss,Kiss
I Was Made For Loving You,Greatest Kiss,Kiss
Shout It Out Loud,Greatest Kiss,Kiss
God Of Thunder,Greatest Kiss,Kiss
Calling Dr. Love,Greatest Kiss,Kiss
Beth,Greatest Kiss,Kiss
Strutter,Greatest Kiss,Kiss
Rock And Roll All Nite,Greatest Kiss,Kiss
Cold Gin,Greatest Kiss,Kiss
Plaster Caster,Greatest Kiss,Kiss
God Gave Rock 'n' Roll To You,Greatest Kiss,Kiss
Heart of the Night,Heart of the Night,Spyro Gyra
De La Luz,Heart of the Night,Spyro Gyra
Westwood Moon,Heart of the Night,Spyro Gyra
Midnight,Heart of the Night,Spyro Gyra
Playtime,Heart of the Night,Spyro Gyra
Surrender,Heart of the Night,Spyro Gyra
Valentino's,Heart of the Night,Spyro Gyra
Believe,Heart of the Night,Spyro Gyra
As We Sleep,Heart of the Night,Spyro Gyra
When Evening Falls,Heart of the Night,Spyro Gyra
J Squared,Heart of the Night,Spyro Gyra
Best Thing,Heart of the Night,Spyro Gyra
Maria,International Superhits,Green Day
Poprocks And Coke,International Superhits,Green Day
Longview,International Superhits,Green Day
Welcome To Paradise,International Superhits,Green Day
Basket Case,International Superhits,Green Day
When I Come Around,International Superhits,Green Day
She,International Superhits,Green Day
J.A.R. (Jason Andrew Relva),International Superhits,Green Day
Geek Stink Breath,International Superhits,Green Day
Brain Stew,International Superhits,Green Day
Jaded,International Superhits,Green Day
Walking Contradiction,International Superhits,Green Day
Stuck With Me,International Superhits,Green Day
Hitchin' A Ride,International Superhits,Green Day
Good Riddance (Time Of Your Life),International Superhits,Green Day
Redundant,International Superhits,Green Day
Nice Guys Finish Last,International Superhits,Green Day
Minority,International Superhits,Green Day
Warning,International Superhits,Green Day
Waiting,International Superhits,Green Day
Macy's Day Parade,International Superhits,Green Day
Into The Light,Into The Light,David Coverdale
River Song,Into The Light,David Coverdale
She Give Me ...,Into The Light,David Coverdale
Don't You Cry,Into The Light,David Coverdale
Love Is Blind,Into The Light,David Coverdale
Slave,Into The Light,David Coverdale
Cry For Love,Into The Light,David Coverdale
Living On Love,Into The Light,David Coverdale
